Unnamed: 0,hotel_name,hotel_address,latitude,longitude
163,Hotel Ours Blanc - Centre,"2, rue Porte Sardane, 31000 Toulouse, France",43.606274,1.44707523
164,Residhome Toulouse Occitania,"93 Avenue De Lombez, 31300 Toulouse, France",43.5938049,1.41036384
165,Zenitude Hôtel-Résidences Le Parc de l'Escale,"8 Rue de Caulet, 31300 Toulouse, France",43.60596325,1.35816336
166,Aparthotel Adagio Original Toulouse Centre La Grave,"24 Rue du Pont Saint-Pierre, 31300 Toulouse, France",43.59971338,1.43289982
167,Lagrange Aparthotel Toulouse Saint-Michel,"36 Grande Rue Saint Michel, 31400 Toulouse, France",43.58763592,1.44667894
168,Le Clocher de Rodez Centre Gare,"14 & 15 Place Jeanne d'Arc, 31000 Toulouse, France",43.60886287,1.44635975
169,Aparthotel Adagio Access Toulouse St Cyprien,"37 ter Avenue Etienne Billière, 31300 Toulouse, France",43.59721694,1.42789274
170,Résidence SWEETLY Alexandrin,"41 Rue Corneille, 31100 Toulouse, France",43.59192,1.411554
171,Grand Hôtel d'Orléans,"72 Rue Bayard, 31000 Toulouse, France",43.61101758,1.45184956
172,Apparteo Toulouse,"46 Boulevard Déodat de Sévérac, 31300 Toulouse, France",43.5889032,1.4238784
173,Residhome Toulouse Ponts Jumeaux,"105 Boulevard de l'Embouchure, 31200 Toulouse, France",43.61177,1.421825
174,Hotel Mercure Toulouse Centre Compans,"Boulevard Lascrosses, 31000 Toulouse, France",43.61064762,1.43494427
175,Montempô + Apparthôtel Toulouse Cité Internationale,"17 Rue Sainte-Catherine, 31400 Toulouse, France",43.5908572,1.4468588
176,Montempô Apparthôtel Toulouse Balma,"81 Chemin de Gabardie, 31200 Toulouse, France",43.6343031,1.4817265
177,Plaza Hotel Capitole Toulouse,"7 Place du Capitole, 31000 Toulouse, France",43.60373649,1.44275352
178,Odalys City Toulouse Colombélie,"76 rue de la Colombette, 31000 Toulouse, France",43.605809,1.455719
179,Alezan Hôtel & Résidence,"2 Allée Antoine Osete, 31100 Toulouse, France",43.59199495,1.40406065
180,Appart'City Confort Marseille Centre Prado Vélodrome,"1 Rue Vandel, 13008 Marseille, France",43.2798554,5.390496
181,Staycity Aparthotels Marseille Centre Vieux Port,"4 Place Pierre Bertas, 13001 Marseille, France",43.30046625,5.37444157
182,Résidence Carpe Diem,"Résidence Carpe Diem 29 rue Pautrier, 13004 Marseille, France",43.30983566,5.39277493
183,Appart'City Classic Marseille Euromed,"118-120 rue de Ruffi, 13002 Marseille, France",43.3148132,5.3694651
184,Aparthotel Adagio Access Marseille Prado Périer,"161 Avenue de Prado, 13008 Marseille, France",43.27869234,5.38806036
185,Citadines Castellane Marseille,"60 Rue du Rouet, Castellane et Préfecture, 13006 Marseille, France",43.28282806,5.38725905
186,Citadines Prado Chanot Marseille,"9-11 Boulevard du Louvain, 13008 Marseille, France",43.27647108,5.3911972
187,Odalys City Marseille Prado Castellane,"114 rue du Rouet et 12 rue de Cassis, 13008 Marseille, France",43.27977452,5.3905347
188,Odalys City Marseille Le Dôme,"27, Boulevard du Marechal Juin, Les Chartreux, 13004 Marseille, France",43.31106501,5.40359886
189,Aparthotel Adagio Marseille Timone,"21, Chemin de l'Armée d'Afrique, Saint-Pierre, 13005 Marseille, France",43.2910567,5.40434003
190,Apparteo Marseille,"12 allée Marcel Leclerc, Bâtiment A, 13008 Marseille, France",43.26811604,5.3945848
191,Zenitude Hôtel Résidences Marseille Saint-Charles,"10, Boulevard Charles Nedelec, 13001 Marseille, France",43.30230886,5.37691176
192,Aparthotel Adagio Access Marseille Saint Charles,"23, Rue Honnorat, Belle de Mai - Saint-Lazare, 13003 Marseille, France",43.30459067,5.3819409
193,ibis Marseille Centre Euromed,"25 Boulevard de Dunkerque, 13002 Marseille, France",43.307901,5.36782017
194,Odalys City Marseille Centre Euromed,"4 Rue Jean-Gaspard Vence, 13002 Marseille, France",43.312771,5.367682
195,Residhome Marseille,"23 Rue Mazenod, 13002 Marseille, France",43.302737,5.365624
196,Radisson Blu Hotel Marseille Vieux Port,"38-40 Quai Rive Neuve, 13007 Marseille, France",43.2925834,5.36702782
197,Mama Shelter Marseille,"64 Rue de la Loubière, 13006 Marseille, France",43.2906598,5.38873054
198,URBAN LOFT & SPA Marseille,"17-21 Place des Marseillaises, 13001 Marseille, France",43.30174056,5.37969984
199,Hôtel Edmond Rostand,"31, Rue Dragon, Castellane et Préfecture, 13006 Marseille, France",43.28832338,5.38060784
200,Saint Ferréol,"19 rue Pisançon, 13001 Marseille, France",43.29414715,5.37832126
201,Les Appartements de Babel Vieux Port,"21 Rue Haxo, 13001 Marseille, France",43.2937579,5.3774478
202,Hôtel Marsiho by HappyCulture - ex Best Western Marseille,"16, Cours Belsunce, 13001 Marseille, France",43.29732159,5.37753899
203,Le Drip's,"98 Avenue Elsa Triolet, 13008 Marseille, France",43.247273,5.390431
204,Residhotel Le Grand Prado,"7 Square des Frères Ambrogiani - Allées Turcat Mery, 13008 Marseille, France",43.28080124,5.38825348
205,Residence Pierre & Vacances Les Balcons de Collioure,"28, route de Port Vendres, 66190 Collioure, France",42.52510633,3.0904362
206,HOTEL AMBEILLE,"ROUTE D'ARGELES, 66190 Collioure, France",42.52545814,3.07903365
207,Le Mas des Citronniers,"22 Avenue de La Republique, 66190 Collioure, France",42.52538159,3.08256391
208,Le Madeloc Hôtel & Spa,"24 Rue Romain Rolland, 66190 Collioure, France",42.52876467,3.07865426
209,La Frégate,"24 Boulevard Camille Pelletan, 66190 Collioure, France",42.52638625,3.08325659
210,Grand Hotel Du Golfe - Spa & Gastronomie,"3638 Route De Collioure, 66008 Collioure, France",42.53378311,3.06433797
211,Hotel Le Bon Port,"12 Route De Port-Vendres, 66190 Collioure, France",42.52411449,3.08936566
212,Le Relais Des Trois Mas,"Route De Port Vendres, 66190 Collioure, France",42.52417281,3.08931068
213,Maison Nova - Boutique Hôtel & Spa,"33 Route du Pla de las Fourques, 66190 Collioure, France",42.5288828,3.0793938
214,Vacancéole - Les demeures de la Massane - Argelès-sur-Mer,"5 impasse Edmond Brazes Chemin Neguebous, 66700 Argelès-sur-Mer, France",42.555066,3.02524477
215,Hotel Centre Plage,"4 Allée Des Palmiers, 66700 Argelès-sur-Mer, France",42.55138004,3.04677956
216,Hotel Sur Le Quai,"2 Quai Pierre Forgas, 66660 Port-Vendres, France",42.51670969,3.10529835
217,Résidence Mer & Golf Port Argelès,"Rue Eric Tabarly, 66700 Argelès-sur-Mer, France",42.54130152,3.04694867
218,Logis Hotel Solhotel,"Alain Gerbault, 66650 Banyuls-sur-Mer, France",42.48571483,3.13000917
219,Ibis Styles Collioure Port Vendres,"9004 Route De collioure, 66660 Port-Vendres, France",42.523056,3.101111
220,Acapella Hotel,"1 Chemin de Néguebous, 66700 Argelès-sur-Mer, France",42.55429049,3.02583754
221,Hôtel Beau Rivage,"Avenue De La Plage - 1, Allée Du Racou, 66700 Argelès-sur-Mer, France",42.55069737,3.04759026
